
# IC Group  Range Sigil (RSG)     Kanji  CID-Range                Unicode Block Name

u-----      u                     false  0x101d0..0x101ff         Phaistos Disc
u-----      u                     false  0x10280..0x1029f         Lycian
u-----      u                     false  0x102a0..0x102df         Carian
u-----      u                     false  0x102e0..0x102ff         Coptic Epact Numbers
u-----      u                     false  0x10300..0x1032f         Old Italic
u-----      u                     false  0x10330..0x1034f         Gothic
u-----      u                     false  0x10350..0x1037f         Old Permic
u-----      u                     false  0x10380..0x1039f         Ugaritic
u-----      u                     false  0x103a0..0x103df         Old Persian
u-----      u                     false  0x10400..0x1044f         Deseret
u-----      u                     false  0x10450..0x1047f         Shavian
u-----      u                     false  0x10480..0x104af         Osmanya
u-----      u                     false  0x104b0..0x104ff         Osage
u-----      u                     false  0x10500..0x1052f         Elbasan
u-----      u                     false  0x10530..0x1056f         Caucasian Albanian
u-----      u                     false  0x10600..0x1077f         Linear A
u-----      u                     false  0x10800..0x1083f         Cypriot Syllabary
u-----      u                     false  0x10840..0x1085f         Imperial Aramaic
u-----      u                     false  0x10860..0x1087f         Palmyrene
u-----      u                     false  0x10880..0x108af         Nabataean
u-----      u                     false  0x108e0..0x108ff         Hatran
u-----      u                     false  0x10900..0x1091f         Phoenician
u-----      u                     false  0x10920..0x1093f         Lydian
u-----      u                     false  0x10980..0x1099f         Meroitic Hieroglyphs
u-----      u                     false  0x109a0..0x109ff         Meroitic Cursive
u-----      u                     false  0x10a00..0x10a5f         Kharoshthi
u-----      u                     false  0x10a60..0x10a7f         Old South Arabian
u-----      u                     false  0x10a80..0x10a9f         Old North Arabian
u-----      u                     false  0x10ac0..0x10aff         Manichaean
u-----      u                     false  0x10b00..0x10b3f         Avestan
u-----      u                     false  0x10b40..0x10b5f         Inscriptional Parthian
u-----      u                     false  0x10b60..0x10b7f         Inscriptional Pahlavi
u-----      u                     false  0x10b80..0x10baf         Psalter Pahlavi
u-----      u                     false  0x10c00..0x10c4f         Old Turkic
u-----      u                     false  0x10c80..0x10cff         Old Hungarian
u-----      u                     false  0x10e60..0x10e7f         Rumi Numeral Symbols
u-----      u                     false  0x11000..0x1107f         Brahmi
u-----      u                     false  0x11080..0x110cf         Kaithi
u-----      u                     false  0x110d0..0x110ff         Sora Sompeng
u-----      u                     false  0x11100..0x1114f         Chakma
u-----      u                     false  0x11150..0x1117f         Mahajani
u-----      u                     false  0x11180..0x111df         Sharada
u-----      u                     false  0x111e0..0x111ff         Sinhala Archaic Numbers
u-----      u                     false  0x11200..0x1124f         Khojki
u-----      u                     false  0x11280..0x112af         Multani
u-----      u                     false  0x112b0..0x112ff         Khudawadi
u-----      u                     false  0x11300..0x1137f         Grantha
u-----      u                     false  0x11400..0x1147f         Newa
u-----      u                     false  0x11480..0x114df         Tirhuta
u-----      u                     false  0x11580..0x115ff         Siddham
u-----      u                     false  0x11600..0x1165f         Modi
u-----      u                     false  0x11660..0x1167f         Mongolian Supplement
u-----      u                     false  0x11680..0x116cf         Takri
u-----      u                     false  0x11700..0x1173f         Ahom
u-----      u                     false  0x118a0..0x118ff         Warang Citi
u-----      u                     false  0x11a00..0x11a4f         Zanabazar Square
u-----      u                     false  0x11a50..0x11aaf         Soyombo
u-----      u                     false  0x11ac0..0x11aff         Pau Cin Hau
u-----      u                     false  0x11c00..0x11c6f         Bhaiksuki
u-----      u                     false  0x11c70..0x11cbf         Marchen
u-----      u                     false  0x11d00..0x11d5f         Masaram Gondi
u-----      u                     false  0x12000..0x123ff         Cuneiform
u-----      u                     false  0x12400..0x1247f         Cuneiform Numbers and Punctuation
u-----      u                     false  0x12480..0x1254f         Early Dynastic Cuneiform
u-----      u                     false  0x13000..0x1342f         Egyptian Hieroglyphs
u-----      u                     false  0x14400..0x1467f         Anatolian Hieroglyphs
u-----      u                     false  0x16800..0x16a3f         Bamum Supplement
u-----      u                     false  0x16a40..0x16a6f         Mro
u-----      u                     false  0x16ad0..0x16aff         Bassa Vah
u-----      u                     false  0x16b00..0x16b8f         Pahawh Hmong
u-----      u                     false  0x16f00..0x16f9f         Miao
u-----      u                     false  0x16fe0..0x16fff         Ideographic Symbols and Punctuation
u-----      u                     false  0x17000..0x187ff         Tangut
u-----      u                     false  0x18800..0x18aff         Tangut Components
u-----      u                     false  0x1b170..0x1b2ff         Nushu
u-----      u                     false  0x1bc00..0x1bc9f         Duployan
u-----      u                     false  0x1bca0..0x1bcaf         Shorthand Format Controls
u-----      u                     false  0x1d000..0x1d0ff         Byzantine Musical Symbols
u-----      u                     false  0x1d100..0x1d1ff         Musical Symbols
u-----      u                     false  0x1d200..0x1d24f         Ancient Greek Musical Notation
u-----      u                     false  0x1d360..0x1d37f         Counting Rod Numerals
u-----      u                     false  0x1d400..0x1d7ff         Mathematical Alphanumeric Symbols
u-----      u                     false  0x1d800..0x1daaf         Sutton SignWriting
u-----      u                     false  0x1e000..0x1e02f         Glagolitic Supplement
u-----      u                     false  0x1e800..0x1e8df         Mende Kikakui
u-----      u                     false  0x1e900..0x1e95f         Adlam
u-----      u                     false  0x1ee00..0x1eeff         Arabic Mathematical Alphabetic Symbols
u-----      u                     false  0x1f000..0x1f02f         Mahjong Tiles
u-----      u                     false  0x1f030..0x1f09f         Domino Tiles
u-----      u                     false  0x1f0a0..0x1f0ff         Playing Cards
u-----      u                     false  0x1f100..0x1f1ff         Enclosed Alphanumeric Supplement
u-----      u                     false  0x1f300..0x1f5ff         Miscellaneous Symbols and Pictographs
u-----      u                     false  0x1f600..0x1f64f         Emoticons
u-----      u                     false  0x1f650..0x1f67f         Ornamental Dingbats
u-----      u                     false  0x1f680..0x1f6ff         Transport and Map Symbols
u-----      u                     false  0x1f700..0x1f77f         Alchemical Symbols
u-----      u                     false  0x1f780..0x1f7ff         Geometric Shapes Extended
u-----      u                     false  0x1f800..0x1f8ff         Supplemental Arrows-C
u-----      u                     false  0x1f900..0x1f9ff         Supplemental Symbols and Pictographs
u-----      u                     false  0xe0000..0xe007f         Tags

